,title,rating,completion_time,modules_number
302,Fundamentals of Quantitative Modeling,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
303,Microsoft Full-Stack Developer Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,12 course series
304,Successful Negotiation: Essential Strategies and Skills,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
305,AI for Good Specialization,4.8,Get in-depth knowledge of a subject,3 course series
306,Global Procurement and Sourcing Specialization,4.7,Get in-depth knowledge of a subject,7 course series
307,Game Theory,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
308,Global Diplomacy â Diplomacy in the Modern World,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
309,Drug Development Product Management Specialization,4.7,Get in-depth knowledge of a subject,3 course series
310,Business Value and Project Management Specialization,4.8,Get in-depth knowledge of a subject,6 course series
311,Principles of Management,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
312,Conduct UX Research and Test Early Concepts,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
313,Preparing  Data for Analysis with Microsoft Excel,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
314,Put It to Work: Prepare for Cybersecurity Jobs,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
315,DeepLearning.AI Data Analytics Professional Certificate,5.0,Earn a career credential that demonstrates your expertise,5 course series
316,Organizational Analysis ,4.6,Gain insight into a topic and learn the fundamentals.,11 modules
317,Foundations of Data Science,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
318,Assess for Success: Marketing Analytics and Measurement,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
319,Pricing Strategy Optimization Specialization,4.8,Get in-depth knowledge of a subject,4 course series
320,"JavaScript Programming with React, Node & MongoDB Specialization",4.5,Get in-depth knowledge of a subject,4 course series
321,"Product Ideation, Design, and Management Specialization",4.5,Get in-depth knowledge of a subject,5 course series
322,Medical Neuroscience,4.9,Gain insight into a topic and learn the fundamentals.,18 modules
323,People and Soft Skills for Professional and Personal Success Specialization,4.6,Get in-depth knowledge of a subject,6 course series
324,Healthcare Law Specialization,4.8,Get in-depth knowledge of a subject,4 course series
325,Microsoft AI & ML Engineering Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
326,NASM Personal Fitness Trainer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
327,Generative Adversarial Networks (GANs) Specialization,4.7,Get in-depth knowledge of a subject,3 course series
328,The Integration of Art and Science in Modern Dental Medicine Specialization,4.9,Get in-depth knowledge of a subject,3 course series
329,Geographic Information Systems  (GIS) Specialization,4.8,Get in-depth knowledge of a subject,4 course series
330,Project Management Essentials,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
331,Cybersecurity for Everyone,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
332,Google Marketing Digital e E-Commerce Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,7 course series
333,Convolutional Neural Networks,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
334,Introduction to Social Media Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
335,Introduction to Clinical Data,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
336,Digital Transformation Using AI/ML with Google Cloud Specialization,4.7,Get in-depth knowledge of a subject,3 course series
337,Sequence Models,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
338,Medical Terminology Specialization,4.9,Get in-depth knowledge of a subject,3 course series
339,"Brand Management: Aligning Business, Brand and Behaviour",4.9,Gain insight into a topic and learn the fundamentals.,5 modules
340,Microsoft UX Design Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
341,IBM Mainframe Developer Professional Certificate,4.4,Earn a career credential that demonstrates your expertise,7 course series
342,Introduction to Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
343,Foundations of Business Intelligence,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
344,Modern Project Management Certificate Specialization,4.7,Get in-depth knowledge of a subject,4 course series
345,Structuring Machine Learning Projects,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
346,Create High-Fidelity Designs and Prototypes in Figma,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
347,Customer Service Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
348,Gemini for Google Workspace Specialization,4.6,Get in-depth knowledge of a subject,8 course series
349,Meta Marketing Science Certification Prep Specialization,4.8,Get in-depth knowledge of a subject,5 course series
350,Java Programming and Software Engineering Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,5 course series
351,Excel Basics for Data Analysis,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
352,Generative AI for Educators & Teachers Specialization,4.9,Get in-depth knowledge of a subject,4 course series
353,Creative Writing Specialization,4.7,Get in-depth knowledge of a subject,5 course series
354,The Strategy of Content Marketing,4.5,Gain insight into a topic and learn the fundamentals.,5 modules
355,Forensic Accounting and Fraud Examination,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
356,Self-Driving Cars Specialization,4.7,Get in-depth knowledge of a subject,4 course series
357,Human Resources Analytics,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
358,Design Fundamentals,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
359,Microsoft 365 Copilot for Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
360,Work Smarter with Microsoft Word,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
361,Unilever Supply Chain Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
362,Introductory Human Physiology,4.8,Gain insight into a topic and learn the fundamentals.,11 modules
363,TensorFlow: Advanced Techniques Specialization,4.8,Get in-depth knowledge of a subject,4 course series
364,Human Anatomy and Medical Terminology Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
365,Six Sigma Green Belt Specialization,4.7,Get in-depth knowledge of a subject,4 course series
366,Managing Emotions in Times of Uncertainty & Stress,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
367,"Influencing: Storytelling, Change Management and Governance Specialization",4.7,Get in-depth knowledge of a subject,4 course series
368,"Make the Sale: Build, Launch, and Manage E-commerce Stores",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
369,Introduction to Artificial Intelligence (AI),4.7,Gain insight into a topic and learn the fundamentals.,4 modules
370,Agile with Atlassian Jira,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
371,Clinical Trials Operations Specialization,4.7,Get in-depth knowledge of a subject,4 course series
372,Become an EMT Specialization,4.8,Get in-depth knowledge of a subject,6 course series
373,Business Data Management and Communication Specialization,4.9,Get in-depth knowledge of a subject,6 course series
374,AI & Law ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
375,AI Applications in Marketing and Finance,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
376,Fundamentals of Project Planning and Management,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
377,Reducing Gun Violence in America: Evidence for Change,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
378,Get Started with Python,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
379,Creating Business Value with Data and Looker Specialization,4.6,Get in-depth knowledge of a subject,3 course series
380,Build Dynamic User Interfaces (UI) for Websites,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
381,Scrum Master Certification Specialization,4.7,Get in-depth knowledge of a subject,4 course series
382,Understanding the Brain: The Neurobiology of Everyday Life,4.9,Gain insight into a topic and learn the fundamentals.,10 modules
383,OKR Certification: Leadership and Goal Setting,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
384,Introduction to Corporate Finance,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
385,First Step Korean,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
386,Project Management & Other Tools for Career Development Specialization,4.7,Get in-depth knowledge of a subject,5 course series
387,Introduction to Large Language Models,4.4,Gain insight into a topic and learn the fundamentals.,1 module
388,Artificial Intelligence: an Overview Specialization,4.6,Get in-depth knowledge of a subject,5 course series
389,Developing Mobile Apps with React Native Specialization,What you'll learn,Get in-depth knowledge of a subject,5 course series
390,Excel Skills for Data Analytics and Visualization Specialization,4.8,Get in-depth knowledge of a subject,3 course series
391,Practical Guide to Trading Specialization,4.4,Get in-depth knowledge of a subject,4 course series
392,Applied Data Science with Python Specialization,4.5,Get in-depth knowledge of a subject,5 course series
393,An Introduction to American Law,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
394,Generative AI: Introduction and Applications,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
395,Bayesian Statistics Specialization,4.6,Get in-depth knowledge of a subject,5 course series
396,Johns Hopkins Medical Office Manager Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,6 course series
397,Microsoft Back-End Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,8 course series
398,Machine Learning for Trading Specialization,3.9,Get in-depth knowledge of a subject,3 course series
399,What is Data Science? ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
400,Organizational Leadership Specialization,4.7,Get in-depth knowledge of a subject,6 course series
401,Leading People and Teams Specialization,4.8,Get in-depth knowledge of a subject,5 course series
402,Marketing en redes sociales de Meta Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,6 course series
403,Natural Language Processing with Classification and Vector Spaces,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
404,Design a User Experience for Social Good & Prepare for Jobs,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
405,Introduction to Technical Writing,4.3,Gain insight into a topic and learn the fundamentals.,4 modules
406,Fundamentals of Machine Learning for Healthcare,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
407,From Excel to Power BI,4.5,Gain insight into a topic and learn the fundamentals.,1 module
408,Animal Behaviour and Welfare,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
409,Achieving Personal and Professional Success Specialization,4.7,Get in-depth knowledge of a subject,4 course series
410,Behavioral Finance,4.4,Gain insight into a topic and learn the fundamentals.,3 modules
411,Talent Acquisition,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
412,Databases and SQL for Data Science with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
413,Microsoft Front-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
414,Investment Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
415,The Manager's Toolkit: A Practical Guide to Managing People at Work,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
416,Satisfaction Guaranteed: Develop Customer Loyalty Online,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
417,Cryptography I,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
418,Probability & Statistics for Machine Learning & Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
419,Fundamentals of Finance,3.9,Gain insight into a topic and learn the fundamentals.,5 modules
420,Team Software Engineering with AI,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
421,Financial Management Specialization,4.9,Get in-depth knowledge of a subject,7 course series
422,PMI-PMPÂ® Certification Training Course Specialization,4.5,Get in-depth knowledge of a subject,5 course series
423,Salesforce Sales Development Representative Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,5 course series
424,Microsoft Data Visualization Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
425,Design Thinking Specialization,4.7,Get in-depth knowledge of a subject,4 course series
426,Financial Analysis - Skills for Success Specialization,4.7,Get in-depth knowledge of a subject,3 course series
427,Writing and Producing Music in Your Home Studio Specialization,4.6,Get in-depth knowledge of a subject,5 course series
428,Algorithms for Battery Management Systems Specialization,4.8,Get in-depth knowledge of a subject,5 course series
429,Marketing Analytics,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
430,Calculus for Machine Learning and Data Science,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
431,Teach English Now! Foundational Principles,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
432,SAP Professional Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
433,Financial Management Specialization,4.7,Get in-depth knowledge of a subject,6 course series
434,Keller Williams Real Estate Agent Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
435,Work Smarter with Microsoft Excel,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
436,Introduction to Mathematical Thinking,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
437,FPGA Design for Embedded Systems Specialization,4.5,Get in-depth knowledge of a subject,4 course series
438,Python Data Structures,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
439,Financial Technology (Fintech) Innovations Specialization,4.7,Get in-depth knowledge of a subject,4 course series
440,Ãtudier en France: French Intermediate course B1-B2,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
441,Business English Communication Skills Specialization,4.8,Get in-depth knowledge of a subject,5 course series
442,The Business of Music Production Specialization,4.9,Get in-depth knowledge of a subject,4 course series
443,Excel Skills for Business: Essentials,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
444,IBM z/OS Mainframe Practitioner Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,3 course series
445,Data Analysis with R Specialization,4.7,Get in-depth knowledge of a subject,3 course series
446,SQL for Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
447,International Humanitarian Law in Theory and Practice ,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
448,Food & Beverage Management,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
449,Sports Marketing,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
450,Harnessing the Power of Data with Power BI,4.6,Gain insight into a topic and learn the fundamentals.,3 modules
451,School Health for Children and Adolescents Specialization,4.8,Get in-depth knowledge of a subject,4 course series
452,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",4.8,Get in-depth knowledge of a subject,3 course series
453,Oil & Gas Industry Operations and Markets ,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
454,Assets in Accounting,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
455,Advanced Embedded Linux Development Specialization,4.5,Get in-depth knowledge of a subject,3 course series
456,Software Product Management Specialization,4.7,Get in-depth knowledge of a subject,5 course series
457,Introduction to Front-End Development,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
458,Project Management Principles and Practices Specialization,4.7,Get in-depth knowledge of a subject,4 course series
459,The Art of Visual Storytelling Specialization,4.7,Get in-depth knowledge of a subject,3 course series
460,Good with Words: Writing and Editing Specialization,4.7,Get in-depth knowledge of a subject,4 course series
461,Microsoft Public Relations and Communications Associate Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
462,The DIY Musician Specialization,4.7,Get in-depth knowledge of a subject,4 course series
463,Generative AI for Executives and Business Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
464,Data Analysis with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
465,The Singer Songwriter Specialization,4.8,Get in-depth knowledge of a subject,4 course series
466,Web Design for Everybody: Basics of Web Development & Coding Specialization,4.8,Get in-depth knowledge of a subject,5 course series
467,Contabilidad para no contadores ,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
468,AWS Cloud Practitioner Essentials,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
469,An Introduction to Programming the Internet of Things (IOT) Specialization,4.7,Get in-depth knowledge of a subject,6 course series
470,Decentralized Finance (DeFi): The Future of Finance Specialization,4.8,Get in-depth knowledge of a subject,4 course series
471,Social Psychology,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
472,Introduction to Electronics,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
473,Object Oriented Programming in Java Specialization,4.6,Get in-depth knowledge of a subject,4 course series
474,Science of Exercise,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
475,Child Nutrition and Cooking,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
476,Drug Hunting: The Science of Making New Medicines Specialization,4.8,Get in-depth knowledge of a subject,6 course series
477,Optical Engineering Specialization,4.3,Get in-depth knowledge of a subject,3 course series
478,Accounting 1,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
479,Evaluations of AI Applications in Healthcare,4.5,Gain insight into a topic and learn the fundamentals.,8 modules
480,AI Applications in People Management ,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
481,Positive Psychiatry and Mental Health ,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
482, Preparation for CompTIA A+ Certification Specialization,4.6,Get in-depth knowledge of a subject,3 course series
483,U.S. Federal Taxation Specialization,4.8,Get in-depth knowledge of a subject,4 course series
484,"Psychology of Anxiety, Mood, Substance Use, and Addictive Behaviors Specialization",4.8,Get in-depth knowledge of a subject,3 course series
485,Suicide Prevention,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
486,Six Sigma Black Belt Specialization,4.5,Get in-depth knowledge of a subject,8 course series
487,International Law in Action: the Arbitration of International Disputes,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
488,Foundations for Assisting in Home Care,4.8,Gain insight into a topic and learn the fundamentals.,13 modules
489,Healthy and Sustainable Foods and Products Specialization,4.3,Get in-depth knowledge of a subject,4 course series
490,Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
491,Statistical Analysis with R for Public Health Specialization,4.7,Get in-depth knowledge of a subject,4 course series
492,Academic English: Writing Specialization,4.8,Get in-depth knowledge of a subject,5 course series
493,Generative AI: Prompt Engineering Basics,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
494,Professionalism in Allied Health,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
495,GoodwillÂ® Career Coach and Navigator Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
496,Introduction to Software Engineering,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
497,Investment Management with Python and Machine Learning Specialization,4.5,Get in-depth knowledge of a subject,4 course series
498,AI for Medical Diagnosis,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
499,The Pronunciation of American English Specialization,4.8,Get in-depth knowledge of a subject,4 course series
500,Google Data Analytics Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
501,Introduction to Engineering Mechanics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
502,Business Analyst (ECBA) Certificate Preparationâ¯ Specialization,What you'll learn,Get in-depth knowledge of a subject,3 course series
503,"C, Go, and C++: A Comprehensive Introduction to Programming Specialization",4.4,Get in-depth knowledge of a subject,6 course series
504,Bioinformatics Specialization,4.4,Get in-depth knowledge of a subject,7 course series
505,Coding for Everyone: C and C++ Specialization,4.4,Get in-depth knowledge of a subject,4 course series
506,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,Gain insight into a topic and learn the fundamentals.,8 modules
507,Introduction to Responsible AI,4.7,Gain insight into a topic and learn the fundamentals.,1 module
508,JavaScript Security Specialization,4.5,Get in-depth knowledge of a subject,4 course series
509,Blockchain Specialization,4.6,Get in-depth knowledge of a subject,4 course series
510,Quality Improvement and Management,4.3,Gain insight into a topic and learn the fundamentals.,3 modules
511,Cancer Biology Specialization,4.9,Get in-depth knowledge of a subject,3 course series
512,Machine Learning with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
513,Introduction to Calculus,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
514,Introduction to Discrete Mathematics for Computer Science Specialization,4.5,Get in-depth knowledge of a subject,5 course series
515,Foundations of Software Testing and Validation,4.6,Gain insight into a topic and learn the fundamentals.,2 modules
516,Interaction Design Specialization,4.5,Get in-depth knowledge of a subject,8 course series
517,Vertex AI Search for Retail Specialization,4.7,Get in-depth knowledge of a subject,4 course series
518,Understanding Clinical Research: Behind the Statistics,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
519,Tools for Data Science,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
520,Python Project for Data Science,4.5,Gain insight into a topic and learn the fundamentals.,1 module
521,Healthcare IT Support Specialization,4.8,Get in-depth knowledge of a subject,4 course series
522,Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Get in-depth knowledge of a subject,5 course series
523,Vivre avec le TDAH Ã  travers les Ã¢ges,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
524,Python and Statistics for Financial Analysis,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
525,Branding: The Creative Journey Specialization,4.6,Get in-depth knowledge of a subject,4 course series
526,Using Public Policy for Social Change,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
527,Construction Project Management,4.8,Gain insight into a topic and learn the fundamentals.,10 modules
528,Introduction to 3D Printing with Metals,What you'll learn,Gain insight into a topic and learn the fundamentals.,5 modules
529,Data Visualization and Dashboards with Excel and Cognos,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
530,AI Strategy and Governance,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
531,AWS Cloud Technical Essentials,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
532,"Songwriting: Writing, Arranging, and Producing Music Specialization",4.7,Get in-depth knowledge of a subject,4 course series
533,Business Analysis Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
534,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
535,Data Analysis and Visualization with Power BI,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
536,Social Media Management ,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
537,Biostatistics in Public Health  Specialization,4.8,Get in-depth knowledge of a subject,4 course series
538,International Women's Health and Human Rights,4.9,Gain insight into a topic and learn the fundamentals.,14 modules
539,ADP Entry-Level Compensation and Benefits Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
540,Moral Foundations of Politics ,4.9,Gain insight into a topic and learn the fundamentals.,8 modules
541,AI Engineering Specialization,4.7,Get in-depth knowledge of a subject,8 course series
542,The Path to Insights: Data Models and Pipelines,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
543,Positive Psychology: Martin E. P. Seligmanâs Visionary Science,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
544,"NoSQL, Big Data, and Spark Foundations Specialization",4.4,Get in-depth knowledge of a subject,3 course series
545,Design and Interpretation of Clinical Trials,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
546,Fundamentals of Graphic Design,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
547,Music Production Specialization,4.8,Get in-depth knowledge of a subject,4 course series
548,Advanced Digital Transformation Specialization,4.7,Get in-depth knowledge of a subject,3 course series
549,Anatomy Specialization,4.8,Get in-depth knowledge of a subject,4 course series
550,Understanding Research Methods,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
551,Conflict Management Specialization,4.6,Get in-depth knowledge of a subject,4 course series
552,Managing Cybersecurity Specialization,4.8,Get in-depth knowledge of a subject,5 course series
553,Corporate Strategy ,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
554,"Energy Production, Distribution & Safety Specialization",4.7,Get in-depth knowledge of a subject,4 course series
555,AI For Everyone ï¼ãã¹ã¦ã®äººã®ããã®AIãªãã©ã·ã¼è¬åº§ï¼,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
556,Accelerated Computer Science Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
557,"Source Systems, Data Ingestion, and Pipelines",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
558,Cybersecurity Operations Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,7 course series
559,Overcoming Dyslexia,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
560,Dynamic Public Speaking Specialization,4.8,Get in-depth knowledge of a subject,4 course series
561,"Modern Robotics:  Mechanics, Planning, and Control Specialization",4.8,Get in-depth knowledge of a subject,6 course series
562,Introduction to Philosophy,4.7,Gain insight into a topic and learn the fundamentals.,14 modules
563,User Experience Research and Design Specialization,4.8,Get in-depth knowledge of a subject,6 course series
564,Security Analyst Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
565,Software Design and Architecture Specialization,4.6,Get in-depth knowledge of a subject,4 course series
566,Supply Chain Logistics,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
567,International Business Essentials Specialization,4.5,Get in-depth knowledge of a subject,6 course series
568,Astronomy: Exploring Time and Space,4.8,Gain insight into a topic and learn the fundamentals.,11 modules
569,Responsible AI: Applying AI Principles with Google Cloud,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
570,Statistics with Python Specialization,4.6,Get in-depth knowledge of a subject,3 course series
571,Unilever Digital Marketing Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
572,"Negotiation, Mediation and Conflict Resolution Specialization",4.7,Get in-depth knowledge of a subject,4 course series
573,Competitive Strategy and Organization Design Specialization,4.8,Get in-depth knowledge of a subject,4 course series
574,Everyday Parenting: The ABCs of Child Rearing,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
575,Data Management for Clinical Research,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
576,Applied Data Science with R Specialization,4.5,Get in-depth knowledge of a subject,5 course series
577,Introduction to International Criminal Law,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
578,Scrum Master Specialization,4.7,Get in-depth knowledge of a subject,4 course series
579,International Organizations Management ,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
580,Business Analytics Specialization,4.7,Get in-depth knowledge of a subject,6 course series
581,Business Strategies for A Better World Specialization,4.7,Get in-depth knowledge of a subject,4 course series
582,AI-Powered Software and System Design,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
583,Developing APIs with Google Cloud's Apigee API Platform Specialization,4.7,Get in-depth knowledge of a subject,3 course series
584,AI in Healthcare Capstone,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
585,American Contract Law I,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
586,Introduction to Events Management ,4.7,Gain insight into a topic and learn the fundamentals.,1 module
587,"Extract, Transform and Load Data in Power BI",4.6,Gain insight into a topic and learn the fundamentals.,4 modules
588,MathWorks Computer Vision Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
589,Teach English Now! Theories of Second Language Acquisition,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
590,Supply Chain Analytics Specialization,4.6,Get in-depth knowledge of a subject,6 course series
591,Certified Business Analysis Professionalâ¢ (CBAPÂ®) Specialization,4.7,Get in-depth knowledge of a subject,4 course series
592,Nuts and Bolts of U.S. Immigration Law,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
593,C and Go: Classical and Modern Programming Specialization,4.2,Get in-depth knowledge of a subject,4 course series
594,Introduction to Financial Engineering and Risk Management,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
595,Industrial Biotechnology,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
596,Digital Manufacturing & Design Technology  Specialization,4.6,Get in-depth knowledge of a subject,9 course series
597,Go Beyond the Numbers: Translate Data into Insights,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
598,Microsoft Azure Data Scientist Associate (DP-100) Exam Prep Professional Certificate,4.2,Earn a career credential that demonstrates your expertise,5 course series
599,Game Design: Art and Concepts Specialization,4.7,Get in-depth knowledge of a subject,5 course series
600,Product Management: An Introduction,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
601,Sustainable Corporate Finance,Instructor,Gain insight into a topic and learn the fundamentals.,12 modules
602,Spanish for Successful Communication in Healthcare Settings,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
603,Organizational Change and Culture for Adopting Google Cloud Specialization,4.8,Get in-depth knowledge of a subject,3 course series
604,Fundamentals of Reinforcement Learning,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
605,Managerial Accounting Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
606,Principles of Sustainable Finance ,4.7,Gain insight into a topic and learn the fundamentals.,9 modules
607,Foundational Finance for Strategic Decision Making Specialization,4.8,Get in-depth knowledge of a subject,4 course series
