title,rating,completion_time,modules_number
Organizational Analysis ,4.6,Gain insight into a topic and learn the fundamentals.,11 modules
Foundations of Data Science,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Assess for Success: Marketing Analytics and Measurement,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Pricing Strategy Optimization Specialization,4.8,Get in-depth knowledge of a subject,4 course series
"JavaScript Programming with React, Node & MongoDB Specialization",4.5,Get in-depth knowledge of a subject,4 course series
"Product Ideation, Design, and Management Specialization",4.5,Get in-depth knowledge of a subject,5 course series
Medical Neuroscience,4.9,Gain insight into a topic and learn the fundamentals.,18 modules
People and Soft Skills for Professional and Personal Success Specialization,4.6,Get in-depth knowledge of a subject,6 course series
Healthcare Law Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Microsoft AI & ML Engineering Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
NASM Personal Fitness Trainer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
Generative Adversarial Networks (GANs) Specialization,4.7,Get in-depth knowledge of a subject,3 course series
The Integration of Art and Science in Modern Dental Medicine Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Geographic Information Systems  (GIS) Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Project Management Essentials,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Cybersecurity for Everyone,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Google Marketing Digital e E-Commerce Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,7 course series
Convolutional Neural Networks,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Social Media Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Introduction to Clinical Data,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
Digital Transformation Using AI/ML with Google Cloud Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Sequence Models,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Medical Terminology Specialization,4.9,Get in-depth knowledge of a subject,3 course series
"Brand Management: Aligning Business, Brand and Behaviour",4.9,Gain insight into a topic and learn the fundamentals.,5 modules
Microsoft UX Design Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
IBM Mainframe Developer Professional Certificate,4.4,Earn a career credential that demonstrates your expertise,7 course series
Introduction to Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Foundations of Business Intelligence,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Modern Project Management Certificate Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Structuring Machine Learning Projects,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
Create High-Fidelity Designs and Prototypes in Figma,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Customer Service Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Gemini for Google Workspace Specialization,4.6,Get in-depth knowledge of a subject,8 course series
Meta Marketing Science Certification Prep Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Java Programming and Software Engineering Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Excel Basics for Data Analysis,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Generative AI for Educators & Teachers Specialization,4.9,Get in-depth knowledge of a subject,4 course series
Creative Writing Specialization,4.7,Get in-depth knowledge of a subject,5 course series
The Strategy of Content Marketing,4.5,Gain insight into a topic and learn the fundamentals.,5 modules
Forensic Accounting and Fraud Examination,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Self-Driving Cars Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Human Resources Analytics,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Design Fundamentals,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Microsoft 365 Copilot for Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Work Smarter with Microsoft Word,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Unilever Supply Chain Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
Introductory Human Physiology,4.8,Gain insight into a topic and learn the fundamentals.,11 modules
TensorFlow: Advanced Techniques Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Human Anatomy and Medical Terminology Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Six Sigma Green Belt Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Managing Emotions in Times of Uncertainty & Stress,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
"Influencing: Storytelling, Change Management and Governance Specialization",4.7,Get in-depth knowledge of a subject,4 course series
"Make the Sale: Build, Launch, and Manage E-commerce Stores",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Artificial Intelligence (AI),4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Agile with Atlassian Jira,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Clinical Trials Operations Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Become an EMT Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Business Data Management and Communication Specialization,4.9,Get in-depth knowledge of a subject,6 course series
AI & Law ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
AI Applications in Marketing and Finance,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Fundamentals of Project Planning and Management,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Reducing Gun Violence in America: Evidence for Change,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Get Started with Python,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Creating Business Value with Data and Looker Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Build Dynamic User Interfaces (UI) for Websites,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Scrum Master Certification Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Understanding the Brain: The Neurobiology of Everyday Life,4.9,Gain insight into a topic and learn the fundamentals.,10 modules
OKR Certification: Leadership and Goal Setting,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Corporate Finance,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
First Step Korean,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Project Management & Other Tools for Career Development Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Introduction to Large Language Models,4.4,Gain insight into a topic and learn the fundamentals.,1 module
Artificial Intelligence: an Overview Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Developing Mobile Apps with React Native Specialization,,Get in-depth knowledge of a subject,5 course series
Excel Skills for Data Analytics and Visualization Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Practical Guide to Trading Specialization,4.4,Get in-depth knowledge of a subject,4 course series
Applied Data Science with Python Specialization,4.5,Get in-depth knowledge of a subject,5 course series
An Introduction to American Law,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
Generative AI: Introduction and Applications,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Bayesian Statistics Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Johns Hopkins Medical Office Manager Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,6 course series
Microsoft Back-End Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,8 course series
Machine Learning for Trading Specialization,3.9,Get in-depth knowledge of a subject,3 course series
What is Data Science? ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Organizational Leadership Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Leading People and Teams Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Marketing en redes sociales de Meta Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,6 course series
Natural Language Processing with Classification and Vector Spaces,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Design a User Experience for Social Good & Prepare for Jobs,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
Introduction to Technical Writing,4.3,Gain insight into a topic and learn the fundamentals.,4 modules
Fundamentals of Machine Learning for Healthcare,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
From Excel to Power BI,4.5,Gain insight into a topic and learn the fundamentals.,1 module
Animal Behaviour and Welfare,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Achieving Personal and Professional Success Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Behavioral Finance,4.4,Gain insight into a topic and learn the fundamentals.,3 modules
Talent Acquisition,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Databases and SQL for Data Science with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Microsoft Front-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
Investment Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
The Manager's Toolkit: A Practical Guide to Managing People at Work,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Satisfaction Guaranteed: Develop Customer Loyalty Online,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Cryptography I,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Probability & Statistics for Machine Learning & Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Fundamentals of Finance,3.9,Gain insight into a topic and learn the fundamentals.,5 modules
Team Software Engineering with AI,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Financial Management Specialization,4.9,Get in-depth knowledge of a subject,7 course series
PMI-PMPÂ® Certification Training Course Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Salesforce Sales Development Representative Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,5 course series
Microsoft Data Visualization Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
Design Thinking Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Financial Analysis - Skills for Success Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Writing and Producing Music in Your Home Studio Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Algorithms for Battery Management Systems Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Marketing Analytics,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Calculus for Machine Learning and Data Science,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
Teach English Now! Foundational Principles,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
SAP Professional Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Financial Management Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Keller Williams Real Estate Agent Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
Work Smarter with Microsoft Excel,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Introduction to Mathematical Thinking,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
FPGA Design for Embedded Systems Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Python Data Structures,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
Financial Technology (Fintech) Innovations Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Ãtudier en France: French Intermediate course B1-B2,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Business English Communication Skills Specialization,4.8,Get in-depth knowledge of a subject,5 course series
The Business of Music Production Specialization,4.9,Get in-depth knowledge of a subject,4 course series
Excel Skills for Business: Essentials,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
IBM z/OS Mainframe Practitioner Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,3 course series
Data Analysis with R Specialization,4.7,Get in-depth knowledge of a subject,3 course series
SQL for Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
International Humanitarian Law in Theory and Practice ,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Food & Beverage Management,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Sports Marketing,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Harnessing the Power of Data with Power BI,4.6,Gain insight into a topic and learn the fundamentals.,3 modules
School Health for Children and Adolescents Specialization,4.8,Get in-depth knowledge of a subject,4 course series
"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",4.8,Get in-depth knowledge of a subject,3 course series
Oil & Gas Industry Operations and Markets ,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
Assets in Accounting,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
Advanced Embedded Linux Development Specialization,4.5,Get in-depth knowledge of a subject,3 course series
Software Product Management Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Introduction to Front-End Development,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Project Management Principles and Practices Specialization,4.7,Get in-depth knowledge of a subject,4 course series
The Art of Visual Storytelling Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Good with Words: Writing and Editing Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Microsoft Public Relations and Communications Associate Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
The DIY Musician Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Generative AI for Executives and Business Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Data Analysis with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
The Singer Songwriter Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Web Design for Everybody: Basics of Web Development & Coding Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Contabilidad para no contadores ,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
AWS Cloud Practitioner Essentials,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
An Introduction to Programming the Internet of Things (IOT) Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Decentralized Finance (DeFi): The Future of Finance Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Social Psychology,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Introduction to Electronics,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Object Oriented Programming in Java Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Science of Exercise,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Child Nutrition and Cooking,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Drug Hunting: The Science of Making New Medicines Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Optical Engineering Specialization,4.3,Get in-depth knowledge of a subject,3 course series
Accounting 1,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Evaluations of AI Applications in Healthcare,4.5,Gain insight into a topic and learn the fundamentals.,8 modules
AI Applications in People Management ,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Positive Psychiatry and Mental Health ,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
 Preparation for CompTIA A+ Certification Specialization,4.6,Get in-depth knowledge of a subject,3 course series
U.S. Federal Taxation Specialization,4.8,Get in-depth knowledge of a subject,4 course series
"Psychology of Anxiety, Mood, Substance Use, and Addictive Behaviors Specialization",4.8,Get in-depth knowledge of a subject,3 course series
Suicide Prevention,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Six Sigma Black Belt Specialization,4.5,Get in-depth knowledge of a subject,8 course series
International Law in Action: the Arbitration of International Disputes,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Foundations for Assisting in Home Care,4.8,Gain insight into a topic and learn the fundamentals.,13 modules
Healthy and Sustainable Foods and Products Specialization,4.3,Get in-depth knowledge of a subject,4 course series
Learning How to Learn: Powerful mental tools to help you master tough subjects,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Statistical Analysis with R for Public Health Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Academic English: Writing Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Generative AI: Prompt Engineering Basics,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
Professionalism in Allied Health,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
GoodwillÂ® Career Coach and Navigator Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
Introduction to Software Engineering,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Investment Management with Python and Machine Learning Specialization,4.5,Get in-depth knowledge of a subject,4 course series
AI for Medical Diagnosis,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
The Pronunciation of American English Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Google Data Analytics Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Introduction to Engineering Mechanics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Business Analyst (ECBA) Certificate Preparationâ¯ Specialization,,Get in-depth knowledge of a subject,3 course series
"C, Go, and C++: A Comprehensive Introduction to Programming Specialization",4.4,Get in-depth knowledge of a subject,6 course series
Bioinformatics Specialization,4.4,Get in-depth knowledge of a subject,7 course series
Coding for Everyone: C and C++ Specialization,4.4,Get in-depth knowledge of a subject,4 course series
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),4.9,Gain insight into a topic and learn the fundamentals.,8 modules
Introduction to Responsible AI,4.7,Gain insight into a topic and learn the fundamentals.,1 module
JavaScript Security Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Blockchain Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Quality Improvement and Management,4.3,Gain insight into a topic and learn the fundamentals.,3 modules
Cancer Biology Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Machine Learning with Python,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Introduction to Calculus,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Introduction to Discrete Mathematics for Computer Science Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Foundations of Software Testing and Validation,4.6,Gain insight into a topic and learn the fundamentals.,2 modules
Interaction Design Specialization,4.5,Get in-depth knowledge of a subject,8 course series
Vertex AI Search for Retail Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Understanding Clinical Research: Behind the Statistics,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Tools for Data Science,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
Python Project for Data Science,4.5,Gain insight into a topic and learn the fundamentals.,1 module
Healthcare IT Support Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Vivre avec le TDAH Ã  travers les Ã¢ges,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Python and Statistics for Financial Analysis,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
Branding: The Creative Journey Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Using Public Policy for Social Change,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Construction Project Management,4.8,Gain insight into a topic and learn the fundamentals.,10 modules
Introduction to 3D Printing with Metals,,Gain insight into a topic and learn the fundamentals.,5 modules
Data Visualization and Dashboards with Excel and Cognos,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
AI Strategy and Governance,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
AWS Cloud Technical Essentials,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.7,Get in-depth knowledge of a subject,4 course series
Business Analysis Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Data Analysis and Visualization with Power BI,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Social Media Management ,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Biostatistics in Public Health  Specialization,4.8,Get in-depth knowledge of a subject,4 course series
International Women's Health and Human Rights,4.9,Gain insight into a topic and learn the fundamentals.,14 modules
ADP Entry-Level Compensation and Benefits Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
Moral Foundations of Politics ,4.9,Gain insight into a topic and learn the fundamentals.,8 modules
AI Engineering Specialization,4.7,Get in-depth knowledge of a subject,8 course series
The Path to Insights: Data Models and Pipelines,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Positive Psychology: Martin E. P. Seligmanâs Visionary Science,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
"NoSQL, Big Data, and Spark Foundations Specialization",4.4,Get in-depth knowledge of a subject,3 course series
Design and Interpretation of Clinical Trials,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Fundamentals of Graphic Design,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Music Production Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Advanced Digital Transformation Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Anatomy Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Understanding Research Methods,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Conflict Management Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Managing Cybersecurity Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Corporate Strategy ,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
"Energy Production, Distribution & Safety Specialization",4.7,Get in-depth knowledge of a subject,4 course series
AI For Everyone ï¼ãã¹ã¦ã®äººã®ããã®AIãªãã©ã·ã¼è¬åº§ï¼,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Accelerated Computer Science Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
"Source Systems, Data Ingestion, and Pipelines",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Cybersecurity Operations Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,7 course series
Overcoming Dyslexia,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
Dynamic Public Speaking Specialization,4.8,Get in-depth knowledge of a subject,4 course series
"Modern Robotics:  Mechanics, Planning, and Control Specialization",4.8,Get in-depth knowledge of a subject,6 course series
Introduction to Philosophy,4.7,Gain insight into a topic and learn the fundamentals.,14 modules
User Experience Research and Design Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Security Analyst Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Software Design and Architecture Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Supply Chain Logistics,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
International Business Essentials Specialization,4.5,Get in-depth knowledge of a subject,6 course series
Astronomy: Exploring Time and Space,4.8,Gain insight into a topic and learn the fundamentals.,11 modules
Responsible AI: Applying AI Principles with Google Cloud,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
Statistics with Python Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Unilever Digital Marketing Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
"Negotiation, Mediation and Conflict Resolution Specialization",4.7,Get in-depth knowledge of a subject,4 course series
Competitive Strategy and Organization Design Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Everyday Parenting: The ABCs of Child Rearing,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Data Management for Clinical Research,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Applied Data Science with R Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Introduction to International Criminal Law,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
Scrum Master Specialization,4.7,Get in-depth knowledge of a subject,4 course series
International Organizations Management ,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Business Analytics Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Business Strategies for A Better World Specialization,4.7,Get in-depth knowledge of a subject,4 course series
AI-Powered Software and System Design,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Developing APIs with Google Cloud's Apigee API Platform Specialization,4.7,Get in-depth knowledge of a subject,3 course series
AI in Healthcare Capstone,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
American Contract Law I,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Introduction to Events Management ,4.7,Gain insight into a topic and learn the fundamentals.,1 module
"Extract, Transform and Load Data in Power BI",4.6,Gain insight into a topic and learn the fundamentals.,4 modules
MathWorks Computer Vision Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
Teach English Now! Theories of Second Language Acquisition,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Supply Chain Analytics Specialization,4.6,Get in-depth knowledge of a subject,6 course series
Certified Business Analysis Professionalâ¢ (CBAPÂ®) Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Nuts and Bolts of U.S. Immigration Law,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
C and Go: Classical and Modern Programming Specialization,4.2,Get in-depth knowledge of a subject,4 course series
Introduction to Financial Engineering and Risk Management,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Industrial Biotechnology,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Digital Manufacturing & Design Technology  Specialization,4.6,Get in-depth knowledge of a subject,9 course series
Go Beyond the Numbers: Translate Data into Insights,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Microsoft Azure Data Scientist Associate (DP-100) Exam Prep Professional Certificate,4.2,Earn a career credential that demonstrates your expertise,5 course series
Game Design: Art and Concepts Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Product Management: An Introduction,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Sustainable Corporate Finance,,Gain insight into a topic and learn the fundamentals.,12 modules
Spanish for Successful Communication in Healthcare Settings,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Organizational Change and Culture for Adopting Google Cloud Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Fundamentals of Reinforcement Learning,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Managerial Accounting Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Principles of Sustainable Finance ,4.7,Gain insight into a topic and learn the fundamentals.,9 modules
Foundational Finance for Strategic Decision Making Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Instructional Methods in Health Professions Education,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Introduction to English Common Law,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Professional Scrum Master Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Data Visualization with Tableau Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Microsoft Azure Security Engineer Associate (AZ-500) Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,7 course series
Palliative Care Always Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Fundraising and Development Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Programming with JavaScript,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Marine Biology,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Health Informatics Specialization,4.4,Get in-depth knowledge of a subject,5 course series
The Payroll Professional,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Introduction to Python Programming,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Supply Chain Digitization: Strategy and Design,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Professional Skills for the Workplace Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Executive Data Science Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Strategy and Game Theory for Management,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Microsoft Power Platform Fundamentals PL-900 Exam Prep Specialization,4.3,Get in-depth knowledge of a subject,4 course series
IntroducciÃ³n a la programaciÃ³n en Python I: Aprendiendo a programar con Python,4.4,Gain insight into a topic and learn the fundamentals.,6 modules
Electronic Music Production Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Digital Product Management: Modern Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Excel and Copilot Fundamentals,4.0,Gain insight into a topic and learn the fundamentals.,5 modules
Finding Your Professional Voice: Confidence & Impact,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
IELTS Preparation Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Biology Meets Programming: Bioinformatics for Beginners,4.2,Gain insight into a topic and learn the fundamentals.,4 modules
Essentials in Clinical Simulations Across the Health Professions,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Addiction Treatment: Clinical Skills for Healthcare Providers,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Microsoft Copilot: Your Everyday AI Companion Specialization,4.5,Get in-depth knowledge of a subject,3 course series
The AI Awakening: Implications for the Economy and Society,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
